date,alexandra_bridge,eastern_canal,ottawa_river,western_canal,laurier_bay,laurier_lyon,laurier_metcalfe,somerset_bridge,otrain_young,otrain_gladstone,otrain_bayview,portage_bridge,adawe_crossing_a,adawe_crossing_b
2010-01-01T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-02T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-03T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-04T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-05T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-06T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-07T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-08T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-09T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-10T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-11T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-12T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-13T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-14T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-15T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-16T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-17T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-18T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-19T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-20T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-21T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-22T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-23T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-24T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-25T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-26T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-27T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-28T00:00:00Z,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-29T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-30T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-01-31T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-02-01T00:00:00Z,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
